"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"1",176,0,0,10.6,10.6,0,0,0,"E"
"2",176,0.2,0,6.6,3,2.1,0.04,0.016,"A"
"4",238,1,0.1,12,5.5,0.2,0.2,0.079,"B"
"5",209,0.6,0.2,9.9,7.1,1.3,0.1,0.039,"B"
"6",1072,4.7,0.4,31.5,28.7,10.2,19.3,7.598,"D"
"7",1120,14,2,24,7.7,10,0.91,0.358,"C"
"8",668,5.1,0.4,23,5.3,4.2,1.2,0.472,"C"
"9",594,9.2,1.1,4.8,4.8,7,1.1,0.433,"C"
"10",618,9,4,6.8,5.8,6.6,1,0.394,"C"
"11",575,5.6,0.6,5.9,5.1,13.1,1.48,0.583,"C"
"12",201,0.9,0.1,7.6,5.8,1.2,1.5,0.591,"C"
"14",2105,33,2.5,44,38,12,0.03,0.012,"D"
"15",1879,16.8,6.1,61.3,19.2,9.4,0.23,0.091,"D"
"16",2001,24,1.7,56,56,8.4,0.01,0.004,"D"
"17",1460,2.5,0.5,72,0.5,8.2,0.03,0.012,"A"
"18",1489,6.3,0.4,45.1,2.2,21,0.05,0.02,"A"
"19",1595,34.6,3.3,11.1,0.9,6.2,1.28,0.504,"D"
"20",1544,1.7,0.9,76,50.6,9.9,0.5,0.197,"E"
"21",1774,9.2,1,79.2,24.3,4.5,0.2,0.079,"C"
"22",167,2.7,0.5,2.5,2.5,0.7,0.8,0.315,"A"
"23",88,0.5,0.1,1.1,0.7,2.2,0.8,0.315,"A"
"24",172,1,0.16,6.3,0.1,1.2,0.68,0.268,"B"
"25",845,16.4,9.3,3.1,3.1,10.4,0.43,0.169,"C"
"26",674,6.5,0.9,12,0.5,12,1.5,0.591,"B"
"27",7900,160,23.7,26.7,9.33,80,0.033,0.013,"E"
"28",561,14,2.2,0,0,0.5,2.5,0.984,"D"
"29",1467,1.4,0.46,75.7,0.22,6.9,0.025,0.01,"A"
"30",1640,10.9,6.7,66.9,33.6,5.4,0.29,0.114,"D"
"31",163,0,0,9.6,9.6,0,0,0,"E"
"32",0,0,0,0,0,0,0,0,"B"
"33",2531,49.2,6.3,10.3,5.6,26.5,1.78,0.701,"E"
"34",1582,5,0.5,64,4,15,1.3,0.512,"A"
"35",1259,24.5,4.1,11.4,9,6.4,0.9,0.354,"C"
"36",724,1.7,0.3,33,7.1,5.2,1.5,0.591,"C"
"37",314,2,0.3,9.6,9.3,3.6,0.2,0.079,"B"
"38",1485,11.9,7.4,54.2,30.2,6.7,0.4,0.157,"D"
"39",2276,34,4,52.6,0.5,6.8,1.3,0.512,"C"
"40",1682,30,20,0,0,32,1.6,0.63,"D"
"43",2151,52,5.5,5.5,4,5,3.37,1.327,"E"
"44",2607,50,9.2,21.7,5.8,18.5,1,0.394,"D"
"45",485,3.1,0,0.2,0,27,1,0.394,"B"
"46",2552,48,29,33,29,6.9,0.05,0.02,"E"
"47",192,0.8,0.1,8.3,6.3,1.4,0.07,0.028,"B"
"48",1510,33,23,1,0.5,16,1.5,0.591,"D"
"49",987,7.7,0.3,19,1.9,19,1.3,0.512,"A"
"50",167,2,0.3,1.6,0.8,3.6,0.05,0.02,"A"
"51",2192,20,4.6,79.3,0.1,6.1,4,1.575,"E"
"52",1515,2.3,0.5,76.8,7.4,7.2,0.72,0.283,"B"
"54",1707,13.7,8.1,57.8,28.1,7.6,0.4,0.157,"D"
"55",1628,7.1,4.6,74,26,5.9,0.8,0.315,"D"
"56",172,0.8,0.1,5.8,4.9,1.5,1.2,0.472,"C"
"57",460,2,0.5,18.8,15.9,3.5,0.15,0.059,"B"
"58",2109,23,2.2,64,6.4,8.3,2.14,0.843,"D"
"59",1992,19,1.9,67,7,8.6,2.2,0.866,"D"
"61",297,1.8,0.4,10,9.4,3.3,0.1,0.039,"B"
"62",2632,52.3,26.7,25.7,21.7,9.2,0.01,0.004,"D"
"63",2703,55,5,8.3,1.5,27.9,1.9,0.748,"D"
"64",914,8.5,3.7,25.1,2.2,9.4,1,0.394,"C"
"65",586,6.8,1.6,16.5,1.5,2.1,1.2,0.472,"C"
"66",226,2.8,0.4,2.3,2.2,3.9,0.25,0.098,"A"
"67",2590,51.2,7.8,11,5.2,24.4,1.03,0.406,"D"
"68",2278,31.6,11,57.6,56.8,6,0.114,0.045,"E"
"69",59,0,0,1.3,0,1.8,1,0.394,"C"
"70",2209,28.5,3.5,57,6.6,9.5,1.8,0.709,"D"
"71",113,0.1,0.1,4.5,4.5,1.1,0.4,0.157,"B"
"72",2301,33.6,6.3,54.5,52.8,5.9,0.1,0.039,"E"
"73",372,0.4,0.1,0.9,0,6.3,0.8,0.315,"A"
"74",1046,18.6,3.2,3.1,0.8,16.5,1.7,0.669,"D"
"75",3059,70.7,5.7,3.9,3.1,16.5,0,0,"D"
"77",88,0,0,5,3.3,0,0,0,"D"
"78",425,2.5,1.6,16,16,3.4,0.13,0.051,"C"
"79",2389,42,26,32,26,9.9,0,0,"E"
"80",456,2.5,0.8,15.5,1.4,5.1,0.88,0.346,"A"
"81",1966,19,15,68,28,4,1.1,0.433,"E"
"82",1536,3.5,2.2,71,68,8,0.1,0.039,"D"
"83",2477,55,30,14,7,10,0.03,0.012,"D"
"84",862,13,2.2,2.7,0.5,19,1.4,0.551,"C"
"85",823,6.2,0.8,27.9,3.1,6.2,1.42,0.559,"C"
"86",1954,18,2,70,20,3.4,0.95,0.374,"C"
"87",1849,30.9,19.5,54.3,0.1,5.4,0.07,0.028,"C"
